time,survival_prob,stage
0.0,0.9791666666666663,Stage III
0.131505408,0.9583333333333331,Stage III
2.038333827,0.9374999999999997,Stage III
2.432850051,0.9166666666666663,Stage III
2.991748036,0.8958333333333331,Stage III
3.978038597,0.8749999999999999,Stage III
4.569812934,0.8541666666666666,Stage III
5.293092678,0.8333333333333331,Stage III
5.687608903,0.8124999999999997,Stage III
5.884867015,0.7916666666666664,Stage III
6.213630536,0.770833333333333,Stage III
8.021829898,0.7499999999999998,Stage III
8.21908801,0.7291666666666664,Stage III
8.449222474,0.7083333333333333,Stage III
8.810862347,0.6874999999999999,Stage III
9.008120459,0.6666666666666665,Stage III
9.040996811,0.6458333333333333,Stage III
9.271131275,0.6249999999999999,Stage III
9.961534668,0.6041666666666666,Stage III
10.09304008,0.5833333333333331,Stage III
11.04645429,0.5624999999999999,Stage III
12.16425026,0.5416666666666666,Stage III
12.65739554,0.5208333333333331,Stage III
13.61080975,0.49999999999999994,Stage III
14.59710031,0.4583333333333333,Stage III
15.25462735,0.4374999999999999,Stage III
15.38613276,0.4166666666666665,Stage III
15.71489628,0.39583333333333315,Stage III
19.49567676,0.37499999999999983,Stage III
20.51484367,0.35416666666666663,Stage III
20.54772003,0.3333333333333332,Stage III
20.64634908,0.31249999999999994,Stage III
23.3750863,0.2916666666666665,Stage III
26.5312161,0.27083333333333326,Stage III
28.89831344,0.24999999999999994,Stage III
29.7530986,0.22916666666666666,Stage III
30.31199658,0.20833333333333334,Stage III
31.29828714,0.1875,Stage III
35.53933656,0.1666666666666666,Stage III
36.65713253,0.1458333333333333,Stage III
41.58858533,0.12499999999999997,Stage III
45.33648946,0.10416666666666662,Stage III
49.24877536,0.08333333333333329,Stage III
58.84867015,0.06249999999999998,Stage III
81.79636388,0.06249999999999998,Stage III
88.6346451,0.06249999999999998,Stage III
129.532827,0.06249999999999998,Stage III
0.0,1.0,Stage II
0.624650689,0.982142857142857,Stage II
2.860242628,0.964285714285714,Stage II
3.254758852,0.9464285714285712,Stage II
3.813656837,0.9285714285714284,Stage II
3.879409541,0.9107142857142853,Stage II
4.076667653,0.8928571428571423,Stage II
5.062958214,0.8749999999999996,Stage II
5.391721735,0.857142857142857,Stage II
5.621856199,0.8392857142857139,Stage II
5.786237959,0.8214285714285712,Stage II
6.147877832,0.8035714285714282,Stage II
7.791695434,0.7857142857142853,Stage II
7.988953546,0.7678571428571425,Stage II
8.482098826,0.7499999999999998,Stage II
8.54785153,0.732142857142857,Stage II
9.238254923,0.714285714285714,Stage II
9.567018444,0.6964285714285711,Stage II
10.55330901,0.6785714285714283,Stage II
11.04645429,0.6607142857142854,Stage II
11.17795969,0.6428571428571426,Stage II
11.27658875,0.6249999999999997,Stage II
12.36150837,0.607142857142857,Stage II
14.07107867,0.5892857142857141,Stage II
14.10395503,0.5714285714285712,Stage II
14.5313476,0.5535714285714284,Stage II
16.0436598,0.5357142857142856,Stage II
16.43817602,0.5178571428571427,Stage II
18.87102607,0.4999999999999997,Stage II
19.13403689,0.482142857142857,Stage II
19.2655423,0.46428571428571414,Stage II
20.58059638,0.4464285714285712,Stage II
21.89565046,0.42857142857142844,Stage II
22.25729033,0.41071428571428553,Stage II
24.03261334,0.3928571428571428,Stage II
24.22987145,0.37499999999999983,Stage II
24.98602755,0.35714285714285693,Stage II
29.45721143,0.32142857142857123,Stage II
30.54213105,0.3035714285714285,Stage II
32.71197028,0.2857142857142856,Stage II
32.84347569,0.26785714285714274,Stage II
34.38866423,0.24999999999999983,Stage II
37.70917579,0.23214285714285704,Stage II
39.74750962,0.21428571428571422,Stage II
40.60229477,0.19642857142857137,Stage II
49.05151724,0.17857142857142855,Stage II
49.28165171,0.16071428571428567,Stage II
49.34740441,0.14285714285714277,Stage II
49.84054969,0.12499999999999997,Stage II
58.45415393,0.10714285714285714,Stage II
62.23493441,0.10714285714285714,Stage II
67.88966696,0.10714285714285714,Stage II
67.95541967,0.10714285714285714,Stage II
92.80994181,0.10714285714285714,Stage II
120.7877174,0.10714285714285714,Stage II
232.1727981,0.10714285714285714,Stage II
0.0,1.0,Stage IV
1.906828418,0.9333333333333331,Stage IV
3.912285893,0.8666666666666667,Stage IV
5.490350791,0.8,Stage IV
8.021829898,0.7333333333333334,Stage IV
12.32863202,0.6666666666666669,Stage IV
15.02449288,0.6000000000000001,Stage IV
15.38613276,0.5333333333333332,Stage IV
19.95594569,0.4666666666666666,Stage IV
21.56688694,0.39999999999999997,Stage IV
22.91481737,0.3333333333333333,Stage IV
27.15586679,0.26666666666666666,Stage IV
32.08731959,0.2,Stage IV
34.29003518,0.13333333333333333,Stage IV
42.50912319,0.06666666666666667,Stage IV
44.61320972,0.0,Stage IV
0.0,1.0,Stage I
0.591774337,0.9892473118279568,Stage I
0.723279745,0.9784946236559133,Stage I
1.084919617,0.9677419354838706,Stage I
1.249301378,0.9569892473118274,Stage I
3.189006148,0.946236559139785,Stage I
6.345135944,0.9354838709677415,Stage I
6.904033928,0.9247311827956982,Stage I
9.862905612,0.9139784946236558,Stage I
10.12591643,0.9032258064516123,Stage I
10.55330901,0.8924731182795699,Stage I
11.14508334,0.8817204301075268,Stage I
11.63822862,0.8709677419354839,Stage I
13.44642798,0.8602150537634402,Stage I
14.26833679,0.8387096774193545,Stage I
15.12312194,0.8279569892473118,Stage I
15.41900911,0.8172043010752685,Stage I
16.53680508,0.8064516129032253,Stage I
18.08199362,0.7956989247311829,Stage I
18.31212809,0.7849462365591394,Stage I
18.44363349,0.7741935483870965,Stage I
19.52855311,0.7634408602150535,Stage I
19.66005852,0.7526881720430108,Stage I
20.18608015,0.7419354838709677,Stage I
21.46825788,0.7311827956989246,Stage I
22.81618832,0.7204301075268812,Stage I
23.04632278,0.7096774193548382,Stage I
23.07919913,0.6989247311827952,Stage I
23.63809712,0.6881720430107522,Stage I
25.0189039,0.6774193548387094,Stage I
25.54492554,0.6666666666666665,Stage I
26.30108163,0.6559139784946235,Stage I
26.56409245,0.6451612903225803,Stage I
28.10928099,0.6344086021505376,Stage I
28.56954992,0.6236559139784943,Stage I
31.19965809,0.6129032258064515,Stage I
31.23253444,0.6021505376344086,Stage I
32.44895946,0.5913978494623655,Stage I
32.71197028,0.5806451612903225,Stage I
33.73113719,0.5698924731182795,Stage I
37.31465957,0.5591397849462365,Stage I
38.36670283,0.5483870967741933,Stage I
38.49820824,0.5376344086021503,Stage I
39.25436434,0.5268817204301073,Stage I
39.35299339,0.5161290322580645,Stage I
39.94476773,0.5053763440860213,Stage I
40.40503666,0.4946236559139784,Stage I
41.35845087,0.4838709677419353,Stage I
41.68721439,0.4731182795698922,Stage I
42.34474143,0.4623655913978493,Stage I
46.71729625,0.45161290322580633,Stage I
47.80221587,0.4408602150537634,Stage I
50.23506592,0.43010752688172027,Stage I
50.33369497,0.4193548387096772,Stage I
52.60216326,0.4086021505376342,Stage I
53.32544301,0.3978494623655912,Stage I
53.65420653,0.3870967741935482,Stage I
54.34460992,0.3763440860215052,Stage I
56.71170727,0.3655913978494623,Stage I
59.11168097,0.3548387096774192,Stage I
